date,sector_id,name,type,main_net_yi,turnover_yi,pct_chg,main_ratio,hotscore,life,up_cnt,down_cnt,fund_streak
2026-09-09,BK1147,SPD概念,概念,-0.49,21.1,-1.83,-2.3,36.5,观察,0,14.0,0
2026-09-09,BK1586,软饮料,行业,-1.76,19.6,-1.53,-8.99,36.4,观察,2.0,6.0,0
2026-09-09,BK1080,新型城镇化,概念,-5.98,151.1,-0.84,-3.96,36.4,观察,28.0,75.0,0
2026-09-09,BK1610,股份制银行Ⅲ,行业,-3.57,61.9,-0.09,-5.78,36.3,观察,3.0,5.0,0
2026-09-09,BK1576,调味发酵品Ⅲ,行业,-2.15,46.4,-1.91,-4.63,36.1,观察,1.0,14.0,0
2026-09-09,BK1278,调味发酵品Ⅱ,行业,-2.15,46.4,-1.91,-4.63,36.1,观察,1.0,14.0,0
2026-09-09,BK1651,显示技术,概念,-0.8,188.2,-1.0,-0.42,36.1,观察,14.0,34.0,0
2026-09-09,BK0892,乳业,概念,-5.5,96.5,-1.52,-5.71,36.1,观察,3.0,27.0,0
2026-09-09,BK0822,租售同权,概念,-3.72,69.0,-1.38,-5.39,36.0,观察,5.0,18.0,0
2026-09-09,BK1561,旅游综合,行业,-0.7,13.1,-0.99,-5.34,35.9,观察,2.0,7.0,0
2026-09-09,BK0944,肝素概念,概念,-0.53,14.8,-1.2,-3.58,35.9,观察,3.0,10.0,0
2026-09-09,BK0992,REITs概念,概念,-3.93,58.3,-0.87,-6.73,35.9,观察,4.0,18.0,0
2026-09-09,BK1395,机床工具,行业,-0.45,22.0,-0.61,-2.03,35.7,观察,5.0,14.0,0
2026-09-09,BK0458,仪器仪表,行业,-2.72,129.4,-0.9,-2.1,35.6,观察,16.0,48.0,0
2026-09-09,BK1262,乘用车,行业,-2.09,40.5,-0.48,-5.15,35.5,观察,2.0,7.0,0
2026-09-09,BK0991,工程机械概念,概念,-3.39,83.5,-0.53,-4.06,35.5,观察,24.0,32.0,0
2026-09-09,BK0549,深圳特区,概念,-17.6,1482.9,-0.65,-1.19,35.5,观察,83.0,253.0,0
2026-09-09,BK0957,拼多多概念,概念,-0.85,51.9,-1.87,-1.64,35.4,观察,6.0,22.0,0
2026-09-09,BK1547,跨境电商,行业,-0.47,10.2,-0.96,-4.63,35.3,观察,1.0,7.0,0
2026-09-09,BK0552,机构重仓,概念,-40.99,3591.5,-0.37,-1.14,35.3,观察,388.0,665.0,0
